"","BO21_chlomean_ss_lonlat","BO21_chlorange_ss_lonlat","BO21_curvelmean_ss_lonlat","BO21_curvelrange_ss_lonlat","BO21_curvelmean_bdmin_lonlat","BO21_curvelrange_bdmin_lonlat","BO21_salinitymean_ss_lonlat","BO21_salinityrange_ss_lonlat","BO21_salinitymean_bdmin_lonlat","BO21_salinityrange_bdmin_lonlat","BO21_tempmean_ss_lonlat","BO21_temprange_ss_lonlat","BO21_tempmean_bdmin_lonlat","BO21_temprange_bdmin_lonlat"
"1",0.126788,0.118184,0.1709815710783,0.262844383716583,0.155668765306473,0.250649333000183,36.307073,0.895592,36.509003,0.588158,26.118805,5.973389,26.412432,7.118249
"2",0.142099,0.218486,0.478385001420975,0.691348671913147,0.502073228359222,0.702177107334137,36.04072,0.868823,36.040863,0.267162,27.616673,4.524803,27.697494,4.083817
"3",0.120495,0.191931,0.102225251495838,0.139809012413025,0.0545289404690266,0.0929763242602348,36.186731,0.87976,36.194668,0.358768,26.168989,5.638857,26.774906,5.185397
"4",0.915725,1.991678,0.0348208397626877,0.0573974289000034,0.0348208397626877,0.0573974289000034,31.263784,3.534921,31.973284,0.94525,8.710263,13.014646,8.962291,14.589041
"5",0.852555,1.78056,0.176652804017067,0.248983904719353,0.057070579379797,0.0980226546525955,31.512863,3.973481,32.405918,1.183661,11.08279,17.29343,6.618684,8.822122
"6",0.562452,1.931271,0.120006211102009,0.204454451799393,0.120006211102009,0.204454451799393,31.610126,3.509984,31.920645,0.889236,11.5877,18.107043,11.31964,18.372484
"7",0.946245,1.924215,0.0710883736610413,0.126984521746635,0.0742379277944565,0.128820538520813,29.119103,6.592104,32.323669,1.488634,12.643963,20.641063,12.919256,21.058513
"8",0.745569,1.792323,0.0612653791904449,0.0911627784371376,0.0621060840785503,0.092146024107933,29.71464,5.81489,32.237648,1.636496,13.033887,21.069198,13.174726,21.160648
"9",1.869599,3.92877,0.0284339729696512,0.0520334430038929,0.0247271489351988,0.0452542752027512,32.558213,3.601602,32.445667,2.372078,14.693265,23.817592,14.570451,23.532374
"10",1.846295,4.060315,0.0113967787474394,0.0200021788477898,0.0109971342608333,0.0192689280956984,32.519797,3.58911,32.624321,2.181688,14.865675,24.89,14.88788,23.272593
"11",1.645867,3.454149,0.0253430958837271,0.0402018986642361,0.0189710315316916,0.0375689193606377,20.250836,7.346406,32.879269,2.018997,15.52542,26.734047,16.122785,25.705675
"12",0.385716,0.906252,0.190605595707893,0.372302085161209,0.190605595707893,0.372302085161209,35.953537,1.26712,35.204193,0.992748,21.77339,14.784197,22.765239,13.62008
"13",0.268811,0.475967,0.115615576505661,0.1448764950037,0.11918980628252,0.148264497518539,35.410283,1.823827,35.247494,1.461334,22.30625,14.934143,22.614583,14.694685
"14",0.222339,1.06661,0.107756905257702,0.161396011710167,0.109284713864326,0.163044154644012,35.048471,3.26797,31.751438,3.497858,23.513885,15.244588,23.871419,14.824942
"15",0.121931,0.210186,0.197110667824745,0.294649213552475,0.197110667824745,0.294649213552475,36.244024,0.873731,36.294071,0.233902,25.926174,5.702433,26.398724,6.337036
